2020-11-11T13:40:22.326Z - MSG - Startup serviço
2020-11-11T13:40:22.517Z - AVISO - Setup cliente 43854116
2020-11-11T13:40:33.341Z - AVISOAPI - Ocorr ID: 166 - Ret API: Senha não confere. - Prot: B3D5F09B7A674C45E053C24DEC0A36E5
2020-11-11T13:40:52.505Z - SUCESSO - Ocorr ID: 13 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABAA4C53E053C24DEC0AD65F
2020-11-11T13:40:52.647Z - SUCESSO - Ocorr ID: 176 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A694C45E053C24DEC0A36E5
2020-11-11T13:40:52.651Z - SUCESSO - Ocorr ID: 175 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FA74C6DE053C24DEC0A5E96
2020-11-11T13:40:52.660Z - SUCESSO - Ocorr ID: 177 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE14C55E053C24DEC0A4B98
2020-11-11T13:40:53.101Z - SUCESSO - Ocorr ID: 173 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B24C47E053C24DEC0A45CC
2020-11-11T13:40:53.108Z - SUCESSO - Ocorr ID: 147 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A6A4C45E053C24DEC0A36E5
2020-11-11T13:41:03.416Z - SUCESSO - Ocorr ID: 173 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B34C47E053C24DEC0A45CC
2020-11-11T13:41:03.801Z - SUCESSO - Ocorr ID: 176 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A6B4C45E053C24DEC0A36E5
2020-11-11T13:41:03.807Z - SUCESSO - Ocorr ID: 175 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014EC94C50E053C24DEC0A330D
2020-11-11T13:41:03.816Z - SUCESSO - Ocorr ID: 179 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C2B4C58E053C24DEC0AF99B
2020-11-11T13:41:03.827Z - SUCESSO - Ocorr ID: 177 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABAB4C53E053C24DEC0AD65F
2020-11-11T13:41:03.838Z - SUCESSO - Ocorr ID: 181 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA49E4C5AE053C24DEC0A6CB2
2020-11-11T13:41:03.893Z - SUCESSO - Ocorr ID: 180 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FA84C6DE053C24DEC0A5E96
2020-11-11T13:41:04.438Z - SUCESSO - Ocorr ID: 183 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DB84C5FE053C24DEC0A9BA4
2020-11-11T13:41:04.447Z - SUCESSO - Ocorr ID: 184 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949AB4C5DE053C24DEC0A0D15
2020-11-11T13:41:04.457Z - SUCESSO - Ocorr ID: 182 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE24C55E053C24DEC0A4B98
2020-11-11T13:41:11.021Z - SUCESSO - Ocorr ID: 180 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F2DA6D514C87E053C24DEC0AD484
2020-11-11T13:41:14.150Z - SUCESSO - Ocorr ID: 185 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B44C47E053C24DEC0A45CC
2020-11-11T13:41:14.744Z - SUCESSO - Ocorr ID: 186 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FA94C6DE053C24DEC0A5E96
2020-11-11T13:41:15.723Z - SUCESSO - Ocorr ID: 187 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE34C55E053C24DEC0A4B98
2020-11-11T13:41:15.731Z - SUCESSO - Ocorr ID: 189 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C2C4C58E053C24DEC0AF99B
2020-11-11T13:41:15.741Z - SUCESSO - Ocorr ID: 188 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A6C4C45E053C24DEC0A36E5
2020-11-11T13:41:15.751Z - SUCESSO - Ocorr ID: 181 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014ECA4C50E053C24DEC0A330D
2020-11-11T13:41:16.053Z - SUCESSO - Ocorr ID: 183 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABAC4C53E053C24DEC0AD65F
2020-11-11T13:41:16.041Z - SUCESSO - Ocorr ID: 184 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA49F4C5AE053C24DEC0A6CB2
2020-11-11T13:41:16.062Z - SUCESSO - Ocorr ID: 182 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949AC4C5DE053C24DEC0A0D15
2020-11-11T13:41:20.580Z - SUCESSO - Ocorr ID: 189 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DB94C5FE053C24DEC0A9BA4
2020-11-11T13:41:21.252Z - SUCESSO - Ocorr ID: 191 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F2DA6D524C87E053C24DEC0AD484
2020-11-11T13:41:21.654Z - SUCESSO - Ocorr ID: 192 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F37CC0454C95E053C24DEC0AAD41
2020-11-11T13:41:23.934Z - SUCESSO - Ocorr ID: 194 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B54C47E053C24DEC0A45CC
2020-11-11T13:41:25.676Z - SUCESSO - Ocorr ID: 185 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FAA4C6DE053C24DEC0A5E96
2020-11-11T13:41:26.446Z - SUCESSO - Ocorr ID: 186 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F3C53E6D4C9AE053C24DEC0A3800
2020-11-11T13:41:26.540Z - SUCESSO - Ocorr ID: 193 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A6D4C45E053C24DEC0A36E5
2020-11-11T13:41:26.553Z - SUCESSO - Ocorr ID: 188 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE44C55E053C24DEC0A4B98
2020-11-11T13:41:26.556Z - SUCESSO - Ocorr ID: 187 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014ECB4C50E053C24DEC0A330D
2020-11-11T13:41:26.812Z - SUCESSO - Ocorr ID: 190 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C2D4C58E053C24DEC0AF99B
2020-11-11T13:41:33.094Z - SUCESSO - Ocorr ID: 198 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F37CC0464C95E053C24DEC0AAD41
2020-11-11T13:41:33.569Z - SUCESSO - Ocorr ID: 200 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA4A04C5AE053C24DEC0A6CB2
2020-11-11T13:41:34.900Z - SUCESSO - Ocorr ID: 190 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F2DA6D534C87E053C24DEC0AD484
2020-11-11T13:41:35.812Z - SUCESSO - Ocorr ID: 196 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949AD4C5DE053C24DEC0A0D15
2020-11-11T13:41:35.816Z - SUCESSO - Ocorr ID: 195 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DBA4C5FE053C24DEC0A9BA4
2020-11-11T13:41:35.827Z - SUCESSO - Ocorr ID: 197 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABAD4C53E053C24DEC0AD65F
2020-11-11T13:41:36.095Z - SUCESSO - Ocorr ID: 199 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F458A4644CBAE053C24DEC0A6894
2020-11-11T13:41:36.361Z - SUCESSO - Ocorr ID: 201 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B64C47E053C24DEC0A45CC
2020-11-11T13:41:36.376Z - SUCESSO - Ocorr ID: 194 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F45D5A274CB3E053C24DEC0AA3E6
2020-11-11T13:41:36.694Z - SUCESSO - Ocorr ID: 193 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4622F904CB0E053C24DEC0AD0A7
2020-11-11T13:41:42.712Z - SUCESSO - Ocorr ID: 202 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014ECC4C50E053C24DEC0A330D
2020-11-11T13:41:43.845Z - SUCESSO - Ocorr ID: 198 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE54C55E053C24DEC0A4B98
2020-11-11T13:41:44.503Z - SUCESSO - Ocorr ID: 197 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C2E4C58E053C24DEC0AF99B
2020-11-11T13:41:44.525Z - SUCESSO - Ocorr ID: 203 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A6E4C45E053C24DEC0A36E5
2020-11-11T13:41:44.852Z - SUCESSO - Ocorr ID: 196 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4DE66FA4CCFE053C24DEC0AFA7B
2020-11-11T13:41:44.859Z - SUCESSO - Ocorr ID: 201 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F37CC0474C95E053C24DEC0AAD41
2020-11-11T13:41:44.867Z - SUCESSO - Ocorr ID: 200 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FAB4C6DE053C24DEC0A5E96
2020-11-11T13:41:44.878Z - SUCESSO - Ocorr ID: 195 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F3C53E6E4C9AE053C24DEC0A3800
2020-11-11T13:41:44.934Z - SUCESSO - Ocorr ID: 204 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4E004FB4CCDE053C24DEC0A1CAC
2020-11-11T13:41:44.941Z - SUCESSO - Ocorr ID: 199 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA4A14C5AE053C24DEC0A6CB2
2020-11-11T13:41:56.043Z - SUCESSO - Ocorr ID: 202 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014ECD4C50E053C24DEC0A330D
2020-11-11T13:41:56.211Z - SUCESSO - Ocorr ID: 209 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F45D5A284CB3E053C24DEC0AA3E6
2020-11-11T13:41:56.587Z - SUCESSO - Ocorr ID: 207 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F2DA6D544C87E053C24DEC0AD484
2020-11-11T13:41:56.591Z - SUCESSO - Ocorr ID: 205 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B74C47E053C24DEC0A45CC
2020-11-11T13:41:56.603Z - SUCESSO - Ocorr ID: 210 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949AE4C5DE053C24DEC0A0D15
2020-11-11T13:41:56.608Z - SUCESSO - Ocorr ID: 211 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DBB4C5FE053C24DEC0A9BA4
2020-11-11T13:41:56.618Z - SUCESSO - Ocorr ID: 203 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F458A4654CBAE053C24DEC0A6894
2020-11-11T13:41:56.622Z - SUCESSO - Ocorr ID: 206 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABAE4C53E053C24DEC0AD65F
2020-11-11T13:41:56.723Z - SUCESSO - Ocorr ID: 204 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F593B1F74CDBE053C24DEC0A8A97
2020-11-11T13:41:56.729Z - SUCESSO - Ocorr ID: 208 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4622F914CB0E053C24DEC0AD0A7
2020-11-11T13:42:02.715Z - SUCESSO - Ocorr ID: 209 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A6F4C45E053C24DEC0A36E5
2020-11-11T13:42:06.978Z - SUCESSO - Ocorr ID: 212 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE64C55E053C24DEC0A4B98
2020-11-11T13:42:08.807Z - SUCESSO - Ocorr ID: 207 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C2F4C58E053C24DEC0AF99B
2020-11-11T13:42:11.162Z - SUCESSO - Ocorr ID: 205 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F3C53E6F4C9AE053C24DEC0A3800
2020-11-11T13:42:11.165Z - SUCESSO - Ocorr ID: 214 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F37CC0484C95E053C24DEC0AAD41
2020-11-11T13:42:11.170Z - SUCESSO - Ocorr ID: 213 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA4A24C5AE053C24DEC0A6CB2
2020-11-11T13:42:11.181Z - SUCESSO - Ocorr ID: 206 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FAC4C6DE053C24DEC0A5E96
2020-11-11T13:42:11.176Z - SUCESSO - Ocorr ID: 211 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4DE66FB4CCFE053C24DEC0AFA7B
2020-11-11T13:42:11.178Z - SUCESSO - Ocorr ID: 210 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4E004FC4CCDE053C24DEC0A1CAC
2020-11-11T13:42:11.663Z - SUCESSO - Ocorr ID: 208 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F677C94E4CEFE053C24DEC0A45D3
2020-11-11T13:42:24.842Z - SUCESSO - Ocorr ID: 221 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F458A4664CBAE053C24DEC0A6894
2020-11-11T13:42:25.257Z - SUCESSO - Ocorr ID: 216 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F2DA6D554C87E053C24DEC0AD484
2020-11-11T13:42:25.267Z - SUCESSO - Ocorr ID: 212 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DBC4C5FE053C24DEC0A9BA4
2020-11-11T13:42:25.281Z - SUCESSO - Ocorr ID: 214 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A704C45E053C24DEC0A36E5
2020-11-11T13:42:25.569Z - SUCESSO - Ocorr ID: 217 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B84C47E053C24DEC0A45CC
2020-11-11T13:42:25.780Z - SUCESSO - Ocorr ID: 220 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4622F924CB0E053C24DEC0AD0A7
2020-11-11T13:42:25.787Z - SUCESSO - Ocorr ID: 219 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F593B1F84CDBE053C24DEC0A8A97
2020-11-11T13:42:25.844Z - SUCESSO - Ocorr ID: 213 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F45D5A294CB3E053C24DEC0AA3E6
2020-11-11T13:42:25.855Z - SUCESSO - Ocorr ID: 215 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABAF4C53E053C24DEC0AD65F
2020-11-11T13:42:25.857Z - SUCESSO - Ocorr ID: 218 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949AF4C5DE053C24DEC0A0D15
2020-11-11T13:42:30.319Z - SUCESSO - Ocorr ID: 216 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F677C94F4CEFE053C24DEC0A45D3
2020-11-11T13:42:33.854Z - SUCESSO - Ocorr ID: 221 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4E004FD4CCDE053C24DEC0A1CAC
2020-11-11T13:42:33.871Z - SUCESSO - Ocorr ID: 215 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F3C53E704C9AE053C24DEC0A3800
2020-11-11T13:42:34.539Z - SUCESSO - Ocorr ID: 223 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4DE66FC4CCFE053C24DEC0AFA7B
2020-11-11T13:42:34.567Z - SUCESSO - Ocorr ID: 218 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F37CC0494C95E053C24DEC0AAD41
2020-11-11T13:42:34.573Z - SUCESSO - Ocorr ID: 219 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014ECE4C50E053C24DEC0A330D
2020-11-11T13:42:34.578Z - SUCESSO - Ocorr ID: 220 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE74C55E053C24DEC0A4B98
2020-11-11T13:42:34.590Z - SUCESSO - Ocorr ID: 224 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C304C58E053C24DEC0AF99B
2020-11-11T13:42:35.293Z - SUCESSO - Ocorr ID: 220 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A714C45E053C24DEC0A36E5
2020-11-11T13:42:35.803Z - SUCESSO - Ocorr ID: 217 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA4A34C5AE053C24DEC0A6CB2
2020-11-11T13:42:35.812Z - SUCESSO - Ocorr ID: 222 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FAD4C6DE053C24DEC0A5E96
2020-11-11T13:42:35.836Z - SUCESSO - Ocorr ID: 215 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F7E87A754D27E053C24DEC0ADB7E
2020-11-11T13:42:36.476Z - SUCESSO - Ocorr ID: 219 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F7F28BAC4D2FE053C24DEC0AC9BD
2020-11-11T13:42:36.484Z - SUCESSO - Ocorr ID: 224 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F7F2A6D94D2CE053C24DEC0AECDA
2020-11-11T13:42:42.075Z - SUCESSO - Ocorr ID: 222 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F847A8074D2AE053C24DEC0A7884
2020-11-11T13:42:43.776Z - SUCESSO - Ocorr ID: 218 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F458A4674CBAE053C24DEC0A6894
2020-11-11T13:42:44.668Z - SUCESSO - Ocorr ID: 223 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1357DBD4C5FE053C24DEC0A9BA4
2020-11-11T13:42:44.817Z - SUCESSO - Ocorr ID: 221 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F13949B04C5DE053C24DEC0A0D15
2020-11-11T13:42:44.978Z - SUCESSO - Ocorr ID: 217 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F0EEB6B94C47E053C24DEC0A45CC
2020-11-11T13:42:44.985Z - SUCESSO - Ocorr ID: 216 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F2DA6D564C87E053C24DEC0AD484
2020-11-11T13:42:48.397Z - SUCESSO - Ocorr ID: 222 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F45D5A2A4CB3E053C24DEC0AA3E6
2020-11-11T13:42:49.532Z - SUCESSO - Ocorr ID: 226 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F677C9504CEFE053C24DEC0A45D3
2020-11-11T13:42:51.734Z - SUCESSO - Ocorr ID: 227 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABB04C53E053C24DEC0AD65F
2020-11-11T13:42:52.052Z - SUCESSO - Ocorr ID: 228 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4E004FE4CCDE053C24DEC0A1CAC
2020-11-11T13:42:52.361Z - SUCESSO - Ocorr ID: 225 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F593B1F94CDBE053C24DEC0A8A97
2020-11-11T13:42:52.545Z - SUCESSO - Ocorr ID: 224 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4622F934CB0E053C24DEC0AD0A7
2020-11-11T13:42:52.549Z - SUCESSO - Ocorr ID: 230 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE84C55E053C24DEC0A4B98
2020-11-11T13:42:52.555Z - SUCESSO - Ocorr ID: 223 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F3C53E714C9AE053C24DEC0A3800
2020-11-11T13:42:52.557Z - SUCESSO - Ocorr ID: 231 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F8E7B7E44D43E053C24DEC0AF186
2020-11-11T13:42:52.792Z - SUCESSO - Ocorr ID: 229 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C314C58E053C24DEC0AF99B
2020-11-11T13:43:01.265Z - SUCESSO - Ocorr ID: 231 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F09B7A724C45E053C24DEC0A36E5
2020-11-11T13:43:02.182Z - SUCESSO - Ocorr ID: 227 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F7F2A6DA4D2CE053C24DEC0AECDA
2020-11-11T13:43:02.192Z - SUCESSO - Ocorr ID: 234 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4DE66FD4CCFE053C24DEC0AFA7B
2020-11-11T13:43:02.205Z - SUCESSO - Ocorr ID: 233 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F11DA4A44C5AE053C24DEC0A6CB2
2020-11-11T13:43:02.287Z - SUCESSO - Ocorr ID: 228 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F7F28BAD4D2FE053C24DEC0AC9BD
2020-11-11T13:43:02.297Z - SUCESSO - Ocorr ID: 230 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F37CC04A4C95E053C24DEC0AAD41
2020-11-11T13:43:02.304Z - SUCESSO - Ocorr ID: 232 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1C24FAE4C6DE053C24DEC0A5E96
2020-11-11T13:43:02.324Z - SUCESSO - Ocorr ID: 229 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F7E87A764D27E053C24DEC0ADB7E
2020-11-11T13:43:02.314Z - SUCESSO - Ocorr ID: 225 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F847A8084D2AE053C24DEC0A7884
2020-11-11T13:43:02.319Z - SUCESSO - Ocorr ID: 226 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1014ECF4C50E053C24DEC0A330D
2020-11-11T13:43:08.298Z - SUCESSO - Ocorr ID: 237 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F110ABB14C53E053C24DEC0AD65F
2020-11-11T13:43:08.622Z - SUCESSO - Ocorr ID: 231 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F8E7B7E54D43E053C24DEC0AF186
2020-11-11T13:43:08.703Z - SUCESSO - Ocorr ID: 234 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F3C53E724C9AE053C24DEC0A3800
2020-11-11T13:43:08.953Z - SUCESSO - Ocorr ID: 225 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4622F944CB0E053C24DEC0AD0A7
2020-11-11T13:43:09.017Z - SUCESSO - Ocorr ID: 235 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F677C9514CEFE053C24DEC0A45D3
2020-11-11T13:43:09.045Z - SUCESSO - Ocorr ID: 236 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4E004FF4CCDE053C24DEC0A1CAC
2020-11-11T13:43:09.052Z - SUCESSO - Ocorr ID: 232 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F45D5A2B4CB3E053C24DEC0AA3E6
2020-11-11T13:43:09.058Z - SUCESSO - Ocorr ID: 233 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F1218BE94C55E053C24DEC0A4B98
2020-11-11T13:43:09.056Z - SUCESSO - Ocorr ID: 229 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F593B1FA4CDBE053C24DEC0A8A97
2020-11-11T13:43:09.098Z - SUCESSO - Ocorr ID: 230 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F12A5C324C58E053C24DEC0AF99B
2020-11-11T13:43:14.592Z - SUCESSO - Ocorr ID: 243 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F4DE66FE4CCFE053C24DEC0AFA7B
2020-11-11T13:43:16.118Z - SUCESSO - Ocorr ID: 235 - Ret API: BaixaOcorrencia executado com sucesso. - Prot: B3D5F847A8094D2AE053C24DEC0A7884
